pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
65922,30.88506,75.80894,2.48,0.13,0.82,0.38,0.696,0.695,3.62,0.717,2.30,2.51,0.00,indeterminate
65923,30.88506,75.80994,2.40,0.13,0.78,0.37,0.697,0.682,3.62,0.724,2.21,2.43,0.00,indeterminate
65924,30.88506,75.81094,2.20,0.13,0.70,0.36,0.688,0.641,3.62,0.725,1.97,2.23,0.00,indeterminate
65925,30.88506,75.81194,1.87,0.12,0.62,0.34,0.686,0.563,3.63,0.602,1.61,1.90,0.00,indeterminate
65926,30.88506,75.81294,2.00,0.12,0.62,0.34,0.690,0.592,3.66,0.519,1.74,2.03,0.00,indeterminate
65927,30.88506,75.81394,2.09,0.12,0.65,0.34,0.691,0.615,3.65,0.510,1.86,2.12,0.00,indeterminate
65928,30.88506,75.81494,2.40,0.12,0.72,0.35,0.688,0.680,3.62,0.496,2.20,2.42,0.00,indeterminate
65929,30.88506,75.81594,2.48,0.12,0.73,0.35,0.684,0.693,3.64,0.465,2.30,2.50,0.00,indeterminate
65930,30.88506,75.81694,2.71,0.12,0.79,0.35,0.690,0.726,3.67,0.430,2.58,2.72,0.00,indeterminate
65931,30.88506,75.81794,3.43,0.12,1.02,0.36,0.702,0.801,3.77,0.401,3.43,3.40,0.00,indeterminate
65932,30.88506,75.81894,3.97,0.13,1.16,0.38,0.714,0.821,4.10,0.435,4.03,3.92,0.00,indeterminate
65933,30.88506,75.81994,4.40,0.14,1.33,0.42,0.714,0.833,4.35,0.488,4.42,4.38,0.00,indeterminate
65934,30.88506,75.82094,4.58,0.14,1.40,0.42,0.715,0.843,4.38,0.514,4.62,4.56,0.00,indeterminate
65935,30.88506,75.82194,4.67,0.14,1.41,0.42,0.719,0.840,4.50,0.510,4.76,4.62,0.00,indeterminate
65936,30.88506,75.82294,4.68,0.13,1.43,0.41,0.719,0.839,4.54,0.465,4.79,4.63,0.00,indeterminate
65937,30.88506,75.82394,4.60,0.13,1.47,0.41,0.725,0.828,4.64,0.401,4.78,4.52,0.00,indeterminate
65938,30.88506,75.82494,3.70,0.12,1.10,0.38,0.730,0.743,4.82,0.303,3.92,3.57,0.00,indeterminate
65939,30.88506,75.82594,3.71,0.12,1.12,0.38,0.732,0.736,4.91,0.291,3.98,3.57,0.00,indeterminate
65940,30.88506,75.82694,3.54,0.12,1.04,0.37,0.734,0.708,5.02,0.349,3.83,3.38,0.00,indeterminate
65941,30.88506,75.82794,3.99,0.12,1.20,0.38,0.728,0.762,4.93,0.385,4.28,3.85,0.00,indeterminate
65942,30.88506,75.82894,2.96,0.13,0.70,0.39,0.738,0.584,5.51,0.438,3.33,2.74,0.00,indeterminate
65943,30.88506,75.82994,3.07,0.14,0.71,0.41,0.740,0.572,5.85,0.474,3.48,2.83,0.00,indeterminate
65944,30.88506,75.83094,2.76,0.14,0.64,0.41,0.749,0.510,5.95,0.490,3.18,2.50,0.17,indeterminate
65945,30.88506,75.83194,2.47,0.16,0.49,0.50,0.785,0.377,7.00,0.480,2.93,2.17,0.17,indeterminate
65946,30.88506,75.83294,3.28,0.15,0.79,0.47,0.745,0.523,6.89,0.478,3.69,3.02,0.17,indeterminate
65947,30.88506,75.83394,3.26,0.15,0.75,0.48,0.754,0.512,7.01,0.476,3.68,3.00,0.17,indeterminate
65948,30.88506,75.83494,3.46,0.15,0.78,0.47,0.748,0.544,6.98,0.481,3.90,3.20,0.17,indeterminate
