pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
69163,30.87795,75.84122,5.62,0.13,1.45,0.44,0.249,0.901,3.92,0.372,6.03,6.03,0.00,indeterminate
69164,30.87795,75.84222,5.83,0.13,1.46,0.45,0.252,0.904,3.99,0.337,6.26,6.25,0.00,indeterminate
69165,30.87795,75.84322,5.96,0.13,1.48,0.44,0.257,0.908,3.99,0.291,6.42,6.38,0.00,indeterminate
69166,30.87795,75.84422,5.91,0.13,1.48,0.43,0.258,0.909,3.92,0.277,6.35,6.31,0.00,indeterminate
69167,30.87795,75.84522,5.99,0.12,1.52,0.43,0.261,0.910,3.96,0.282,6.45,6.40,0.00,indeterminate
69168,30.87795,75.84622,6.22,0.13,1.51,0.44,0.265,0.911,4.08,0.417,6.71,6.62,0.00,indeterminate
69169,30.87795,75.84722,6.32,0.13,1.52,0.44,0.266,0.912,4.13,0.520,6.82,6.72,0.00,indeterminate
69170,30.87795,75.84822,6.34,0.13,1.53,0.44,0.268,0.911,4.16,0.556,6.86,6.74,0.00,indeterminate
69171,30.87795,75.84922,6.36,0.13,1.60,0.44,0.270,0.912,4.15,0.577,6.87,6.75,0.00,indeterminate
69172,30.87795,75.85022,6.49,0.13,1.62,0.44,0.273,0.915,4.15,0.575,7.01,6.87,0.00,indeterminate
69173,30.87795,75.85122,6.60,0.13,1.63,0.44,0.275,0.917,4.17,0.627,7.12,6.97,0.00,indeterminate
69174,30.87795,75.85222,6.68,0.13,1.65,0.44,0.276,0.917,4.22,0.639,7.21,7.05,0.00,indeterminate
69175,30.87795,75.85322,6.67,0.13,1.68,0.44,0.277,0.915,4.28,0.651,7.23,7.05,0.00,indeterminate
69176,30.87795,75.85422,6.89,0.13,1.73,0.44,0.280,0.918,4.31,0.662,7.45,7.24,0.00,indeterminate
69177,30.87795,75.85522,6.88,0.13,1.75,0.44,0.282,0.919,4.29,0.675,7.44,7.23,0.00,indeterminate
69178,30.87795,75.85622,6.94,0.13,1.80,0.44,0.283,0.919,4.33,0.788,7.51,7.29,0.00,indeterminate
69179,30.87795,75.85722,7.01,0.13,1.82,0.44,0.285,0.920,4.35,0.830,7.60,7.35,0.00,indeterminate
69180,30.87795,75.85822,7.07,0.13,1.83,0.44,0.285,0.920,4.37,0.841,7.67,7.41,0.00,indeterminate
69181,30.87795,75.85922,7.21,0.13,1.84,0.45,0.285,0.920,4.47,0.840,7.83,7.56,0.00,indeterminate
69182,30.87795,75.86022,7.35,0.13,1.84,0.46,0.286,0.919,4.57,0.791,7.99,7.70,0.00,indeterminate
69183,30.87795,75.86122,7.53,0.13,1.84,0.46,0.287,0.921,4.64,0.712,8.19,7.88,0.00,indeterminate
69184,30.87795,75.86222,7.48,0.13,1.84,0.46,0.286,0.920,4.62,0.688,8.14,7.82,0.00,indeterminate
69185,30.87795,75.86322,7.41,0.13,1.83,0.45,0.287,0.921,4.57,0.660,8.06,7.74,0.00,indeterminate
69186,30.87795,75.86422,7.46,0.13,1.84,0.45,0.287,0.921,4.57,0.631,8.10,7.78,0.00,indeterminate
69187,30.87795,75.86522,7.42,0.13,1.84,0.45,0.285,0.920,4.60,0.627,8.05,7.74,0.00,indeterminate
69188,30.87795,75.86622,7.37,0.13,1.84,0.45,0.285,0.918,4.64,0.650,8.00,7.69,0.00,indeterminate
69189,30.87795,75.86722,7.42,0.14,1.82,0.46,0.283,0.916,4.70,0.711,8.06,7.74,0.00,indeterminate
69190,30.87795,75.86822,7.38,0.13,1.84,0.46,0.281,0.917,4.67,0.693,8.00,7.69,0.00,indeterminate
69191,30.87795,75.86922,7.28,0.13,1.80,0.45,0.281,0.916,4.63,0.692,7.89,7.58,0.00,indeterminate
69192,30.87795,75.87022,7.33,0.13,1.77,0.46,0.279,0.914,4.71,0.672,7.94,7.63,0.00,indeterminate
69193,30.87795,75.87122,7.42,0.14,1.72,0.46,0.277,0.913,4.80,0.628,8.04,7.71,0.00,indeterminate
69194,30.87795,75.87222,7.38,0.13,1.70,0.46,0.276,0.913,4.77,0.627,7.97,7.65,0.00,indeterminate
69195,30.87795,75.87322,7.32,0.13,1.69,0.46,0.275,0.913,4.75,0.600,7.91,7.58,0.00,indeterminate
69196,30.87795,75.87422,7.26,0.13,1.66,0.46,0.274,0.910,4.79,0.592,7.84,7.51,0.00,indeterminate
69197,30.87795,75.87522,7.14,0.13,1.63,0.46,0.274,0.905,4.84,0.547,7.71,7.39,0.00,indeterminate
69198,30.87795,75.87622,7.08,0.14,1.63,0.46,0.274,0.903,4.86,0.463,7.64,7.31,0.00,indeterminate
69199,30.87795,75.87722,6.97,0.14,1.63,0.46,0.275,0.901,4.85,0.398,7.53,7.20,0.00,indeterminate
69200,30.87795,75.87822,6.98,0.14,1.65,0.46,0.275,0.901,4.85,0.329,7.55,7.21,0.00,indeterminate
69201,30.87795,75.87922,6.81,0.14,1.60,0.45,0.275,0.898,4.80,0.297,7.35,7.01,0.00,indeterminate
69202,30.87795,75.88022,7.03,0.14,1.61,0.45,0.276,0.903,4.83,0.238,7.59,7.23,0.00,indeterminate
69203,30.87795,75.88122,6.77,0.14,1.61,0.45,0.280,0.895,4.87,0.179,7.32,6.98,0.00,indeterminate
69206,30.87795,75.88422,6.77,0.14,1.59,0.48,0.280,0.884,5.14,0.155,7.32,6.98,0.00,indeterminate
69207,30.87795,75.88522,6.74,0.14,1.60,0.48,0.279,0.884,5.13,0.178,7.29,6.94,0.00,indeterminate
69208,30.87795,75.88622,7.05,0.15,1.64,0.48,0.275,0.894,5.10,0.333,7.62,7.23,0.00,indeterminate
69209,30.87795,75.88722,7.01,0.15,1.64,0.48,0.275,0.893,5.09,0.855,7.59,7.19,0.00,indeterminate
69210,30.87795,75.88822,6.92,0.15,1.65,0.48,0.277,0.889,5.12,0.833,7.49,7.09,0.00,indeterminate
69211,30.87795,75.88922,6.97,0.15,1.66,0.48,0.276,0.890,5.15,0.856,7.56,7.13,0.00,indeterminate
69212,30.87795,75.89022,6.94,0.15,1.66,0.48,0.277,0.890,5.13,0.845,7.53,7.09,0.00,indeterminate
69213,30.87795,75.89122,6.86,0.15,1.63,0.48,0.277,0.885,5.18,0.759,7.47,7.01,0.00,indeterminate
69214,30.87795,75.89222,6.81,0.15,1.62,0.48,0.276,0.883,5.20,0.696,7.43,6.97,0.00,indeterminate
69215,30.87795,75.89322,6.63,0.15,1.65,0.48,0.273,0.876,5.23,0.722,7.23,6.79,0.00,indeterminate
69216,30.87795,75.89422,6.68,0.15,1.69,0.49,0.270,0.875,5.28,0.681,7.29,6.85,0.00,indeterminate
69217,30.87795,75.89522,6.56,0.15,1.70,0.50,0.268,0.870,5.32,0.659,7.17,6.72,0.00,indeterminate
69218,30.87795,75.89622,6.65,0.15,1.76,0.50,0.265,0.872,5.35,0.681,7.24,6.81,0.00,indeterminate
69219,30.87795,75.89722,6.76,0.16,1.80,0.51,0.264,0.873,5.41,0.793,7.37,6.92,0.00,indeterminate
69220,30.87795,75.89822,6.69,0.16,1.72,0.51,0.263,0.869,5.45,0.775,7.30,6.83,0.00,indeterminate
69221,30.87795,75.89922,6.58,0.16,1.65,0.51,0.260,0.864,5.46,0.786,7.18,6.71,0.00,indeterminate
69222,30.87795,75.90022,6.67,0.16,1.63,0.52,0.258,0.865,5.54,0.848,7.28,6.80,0.00,indeterminate
69223,30.87795,75.90122,6.51,0.16,1.60,0.53,0.255,0.856,5.60,0.591,7.14,6.64,0.00,indeterminate
69224,30.87795,75.90222,6.50,0.16,1.60,0.52,0.255,0.856,5.58,0.643,7.12,6.62,0.00,indeterminate
69225,30.87795,75.90322,6.52,0.17,1.54,0.52,0.253,0.855,5.65,0.649,7.16,6.64,0.00,indeterminate
69226,30.87795,75.90422,6.73,0.17,1.61,0.53,0.251,0.860,5.70,0.683,7.38,6.85,0.00,indeterminate
69227,30.87795,75.90522,6.60,0.17,1.56,0.53,0.250,0.855,5.70,0.721,7.24,6.71,0.00,indeterminate
69228,30.87795,75.90622,6.38,0.17,1.47,0.53,0.247,0.844,5.76,0.662,7.05,6.49,0.00,indeterminate
69229,30.87795,75.90722,6.35,0.17,1.44,0.52,0.247,0.840,5.81,0.517,7.01,6.45,0.00,indeterminate
69231,30.87795,75.90922,6.31,0.17,1.46,0.53,0.256,0.829,6.01,0.204,6.94,6.42,0.00,indeterminate
69233,30.87795,75.91122,6.40,0.17,1.40,0.52,0.255,0.832,6.03,0.256,7.05,6.51,0.00,indeterminate
69235,30.87795,75.91322,7.05,0.17,1.46,0.53,0.244,0.856,6.07,0.526,7.78,7.18,0.00,indeterminate
69236,30.87795,75.91422,7.16,0.17,1.47,0.53,0.244,0.859,6.09,0.571,7.91,7.29,0.00,indeterminate
69237,30.87795,75.91522,7.33,0.17,1.47,0.53,0.244,0.865,6.07,0.572,8.09,7.46,0.00,indeterminate
69238,30.87795,75.91622,7.43,0.17,1.52,0.52,0.243,0.868,6.07,0.611,8.17,7.56,0.00,indeterminate
69239,30.87795,75.91722,7.59,0.16,1.55,0.52,0.242,0.876,6.00,0.568,8.31,7.71,0.00,indeterminate
69240,30.87795,75.91822,7.83,0.16,1.58,0.51,0.247,0.884,5.94,0.559,8.54,7.95,0.00,indeterminate
69241,30.87795,75.91922,7.86,0.16,1.53,0.51,0.250,0.884,5.99,0.523,8.62,7.97,0.00,indeterminate
69243,30.87795,75.92122,7.97,0.16,1.53,0.51,0.247,0.885,6.03,0.353,8.75,8.08,0.00,indeterminate
69244,30.87795,75.92222,8.05,0.16,1.52,0.51,0.249,0.887,6.02,0.399,8.84,8.16,0.00,indeterminate
69245,30.87795,75.92322,8.13,0.16,1.51,0.51,0.251,0.890,5.99,0.382,8.93,8.23,0.00,indeterminate
69246,30.87795,75.92422,8.25,0.16,1.49,0.52,0.251,0.893,6.00,0.449,9.07,8.35,0.00,indeterminate
69247,30.87795,75.92522,8.13,0.16,1.46,0.52,0.245,0.889,6.02,0.479,8.94,8.23,0.00,indeterminate
69248,30.87795,75.92622,8.36,0.17,1.54,0.53,0.246,0.893,6.06,0.446,9.20,8.46,0.00,indeterminate
69249,30.87795,75.92722,8.20,0.17,1.45,0.53,0.244,0.890,6.04,0.494,9.03,8.29,0.00,indeterminate
69250,30.87795,75.92822,8.08,0.17,1.44,0.53,0.244,0.888,6.03,0.494,8.92,8.17,0.00,indeterminate
69251,30.87795,75.92922,8.10,0.17,1.41,0.53,0.246,0.889,6.01,0.492,8.94,8.17,0.00,indeterminate
69252,30.87795,75.93022,8.01,0.17,1.37,0.52,0.245,0.888,5.98,0.512,8.85,8.08,0.00,indeterminate
69253,30.87795,75.93122,8.11,0.17,1.36,0.53,0.246,0.890,5.99,0.558,8.97,8.16,0.00,indeterminate
69254,30.87795,75.93222,7.98,0.17,1.35,0.53,0.245,0.886,6.01,0.554,8.84,8.04,0.00,indeterminate
69255,30.87795,75.93322,8.07,0.17,1.35,0.54,0.247,0.886,6.06,0.596,8.94,8.12,0.00,indeterminate
69256,30.87795,75.93422,7.88,0.17,1.32,0.54,0.246,0.882,6.06,0.629,8.77,7.92,0.00,indeterminate
69257,30.87795,75.93522,7.81,0.17,1.31,0.53,0.248,0.881,6.03,0.711,8.69,7.84,0.00,indeterminate
69258,30.87795,75.93622,7.71,0.17,1.24,0.52,0.248,0.878,6.02,0.702,8.59,7.73,0.00,indeterminate
69259,30.87795,75.93722,7.38,0.18,1.17,0.52,0.248,0.867,6.07,0.669,8.28,7.40,0.00,indeterminate
69260,30.87795,75.93822,7.31,0.18,1.13,0.52,0.248,0.863,6.11,0.665,8.23,7.32,0.00,indeterminate
69261,30.87795,75.93922,7.18,0.18,1.06,0.50,0.249,0.858,6.13,0.615,8.11,7.18,0.00,indeterminate
