pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
104965,31.43883,74.45428,0.36,0.93,4.68,1.85,0.515,0.102,9.75,0.184,-0.15,-3.10,0.50,elastic_dominant
104966,31.43883,74.45528,1.56,0.94,3.70,1.82,0.502,0.107,9.50,0.152,0.63,-1.03,0.00,elastic_dominant
104971,31.43883,74.46028,1.36,0.90,3.35,1.73,0.510,0.092,9.26,0.290,-1.58,1.19,0.50,elastic_dominant
104972,31.43883,74.46128,2.23,0.95,3.21,1.79,0.507,0.128,9.39,0.411,0.07,0.95,0.50,indeterminate
104973,31.43883,74.46228,2.48,1.00,3.16,1.86,0.504,0.132,9.76,0.423,-0.21,1.69,0.00,indeterminate
104974,31.43883,74.46328,2.00,1.04,3.29,1.91,0.514,0.103,10.13,0.480,-0.00,0.13,0.00,indeterminate
104975,31.43883,74.46428,2.50,1.03,3.00,1.89,0.509,0.120,10.18,0.436,-0.40,1.83,0.00,indeterminate
104976,31.43883,74.46528,2.70,1.01,3.40,1.83,0.535,0.144,10.15,0.349,0.25,1.21,0.00,indeterminate
104977,31.43883,74.46628,2.55,1.03,3.22,1.83,0.536,0.131,10.14,0.351,-0.21,1.39,0.00,indeterminate
104978,31.43883,74.46728,2.62,1.03,3.01,1.81,0.531,0.133,9.97,0.319,-0.21,1.64,0.50,indeterminate
104979,31.43883,74.46828,2.74,1.03,3.22,1.82,0.534,0.142,10.12,0.281,-0.06,1.63,0.00,indeterminate
104980,31.43883,74.46928,3.73,1.07,3.03,1.88,0.530,0.189,10.46,0.271,0.54,3.04,0.00,indeterminate
104981,31.43883,74.47028,2.69,1.05,3.34,1.85,0.538,0.136,10.40,0.253,0.66,0.65,0.00,indeterminate
104982,31.43883,74.47128,3.27,1.03,3.00,1.81,0.530,0.169,10.10,0.266,0.37,2.49,0.00,indeterminate
104983,31.43883,74.47228,2.08,1.01,3.20,1.80,0.528,0.109,9.94,0.310,-0.66,1.19,0.00,indeterminate
104984,31.43883,74.47328,1.97,1.04,3.18,1.82,0.530,0.102,10.02,0.346,-0.62,0.80,0.00,indeterminate
104985,31.43883,74.47428,2.78,1.04,3.15,1.85,0.524,0.141,10.14,0.397,0.22,1.58,0.00,indeterminate
104986,31.43883,74.47528,2.44,1.02,3.29,1.82,0.527,0.128,10.05,0.421,0.15,0.95,0.00,indeterminate
104987,31.43883,74.47628,2.46,1.04,3.33,1.87,0.517,0.127,10.16,0.408,-0.53,1.86,0.00,indeterminate
104988,31.43883,74.47728,2.54,1.05,3.21,1.85,0.522,0.129,10.16,0.413,0.03,1.30,0.00,indeterminate
104989,31.43883,74.47828,2.35,1.05,3.33,1.85,0.518,0.123,10.12,0.412,-0.24,1.25,0.00,indeterminate
104990,31.43883,74.47928,2.20,1.03,3.53,1.84,0.519,0.120,10.12,0.388,-0.40,1.14,0.00,indeterminate
104991,31.43883,74.48028,2.31,1.06,3.26,1.86,0.512,0.117,10.18,0.361,-1.04,2.19,0.00,indeterminate
104992,31.43883,74.48128,2.18,1.05,3.45,1.86,0.514,0.115,10.20,0.351,-0.96,1.78,0.00,indeterminate
104993,31.43883,74.48228,2.86,1.05,3.44,1.88,0.511,0.149,10.30,0.362,-0.81,3.14,0.00,indeterminate
104994,31.43883,74.48328,2.40,1.06,3.49,1.87,0.520,0.126,10.29,0.371,-0.37,1.41,0.00,indeterminate
104995,31.43883,74.48428,2.97,1.08,3.35,1.90,0.517,0.149,10.48,0.359,-1.09,3.52,0.00,indeterminate
104996,31.43883,74.48528,1.73,1.06,3.71,1.89,0.521,0.099,10.40,0.371,-1.21,0.97,0.00,elastic_dominant
