pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
28840,28.59706,77.08833,1.20,0.44,0.83,1.03,0.598,0.082,10.18,0.275,0.54,1.76,0.57,indeterminate
28841,28.59706,77.08933,0.93,0.42,0.83,1.00,0.606,0.053,10.08,0.255,0.26,1.49,0.57,indeterminate
28842,28.59706,77.09033,0.01,0.39,1.12,1.04,0.651,0.006,10.01,0.260,-0.77,0.63,0.57,elastic_dominant
28843,28.59706,77.09133,0.15,0.39,1.09,1.03,0.655,0.007,9.95,0.349,-0.65,0.77,0.57,elastic_dominant
28844,28.59706,77.09233,0.06,0.39,1.04,1.01,0.638,0.005,9.95,0.374,-0.70,0.69,0.57,elastic_dominant
28845,28.59706,77.09333,0.25,0.39,0.95,0.99,0.621,0.008,9.89,0.468,-0.47,0.80,0.57,elastic_dominant
28846,28.59706,77.09433,0.30,0.39,0.96,0.98,0.632,0.009,9.82,0.421,-0.37,0.81,0.57,elastic_dominant
28847,28.59706,77.09533,-0.04,0.38,0.96,0.98,0.641,0.005,9.80,0.443,-0.74,0.49,0.57,elastic_dominant
28848,28.59706,77.09633,-0.28,0.38,0.99,0.97,0.646,0.011,9.76,0.526,-0.97,0.22,0.57,elastic_dominant
28849,28.59706,77.09733,-0.27,0.38,0.98,0.96,0.663,0.011,9.73,0.539,-0.92,0.20,0.57,elastic_dominant
28850,28.59706,77.09833,-0.29,0.37,1.01,0.96,0.681,0.012,9.68,0.546,-0.89,0.14,0.57,elastic_dominant
28851,28.59706,77.09933,-0.49,0.37,1.00,0.96,0.695,0.022,9.71,0.527,-1.11,-0.03,0.57,elastic_dominant
28852,28.59706,77.10033,-0.25,0.37,1.01,0.96,0.723,0.009,9.78,0.442,-0.77,0.16,0.57,elastic_dominant
28854,28.59706,77.10233,-0.26,0.37,1.09,0.97,0.758,0.010,9.94,0.341,-0.64,0.13,0.57,elastic_dominant
28856,28.59706,77.10433,-0.24,0.37,1.22,0.99,0.776,0.010,9.90,0.297,-0.68,0.14,0.57,elastic_dominant
28860,28.59706,77.10833,-0.31,0.36,1.13,0.95,0.753,0.013,9.70,0.196,-0.75,0.09,0.57,elastic_dominant
28861,28.59706,77.10933,-0.74,0.35,1.26,0.99,0.729,0.045,9.65,0.177,-0.79,-0.61,0.57,indeterminate
28862,28.59706,77.11033,-0.75,0.36,1.20,0.98,0.745,0.044,9.83,0.151,-1.31,-0.30,0.57,indeterminate
28867,28.59706,77.11533,-0.48,0.35,1.56,1.05,0.713,0.029,9.73,0.167,-0.85,-0.18,0.57,elastic_dominant
28868,28.59706,77.11633,-0.01,0.35,1.61,1.05,0.733,0.013,9.68,0.217,-0.40,0.29,0.57,elastic_dominant
28869,28.59706,77.11733,-0.68,0.36,1.62,1.05,0.717,0.045,9.72,0.339,-1.46,-0.15,0.57,elastic_dominant
