pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
115895,28.43961,77.08539,-0.12,0.23,0.77,0.49,0.602,0.017,4.72,0.646,-1.87,0.74,0.50,elastic_dominant
115896,28.43961,77.08639,-0.39,0.23,0.78,0.50,0.625,0.037,4.70,0.431,-2.29,0.57,0.50,elastic_dominant
115897,28.43961,77.08739,0.07,0.23,0.83,0.50,0.611,0.017,4.68,0.297,-1.88,1.03,0.50,elastic_dominant
115898,28.43961,77.08839,-0.28,0.22,0.73,0.47,0.600,0.026,4.63,0.319,-1.98,0.52,0.50,elastic_dominant
115899,28.43961,77.08939,-0.19,0.22,0.73,0.47,0.615,0.019,4.64,0.341,-1.89,0.63,0.50,elastic_dominant
115900,28.43961,77.09039,-0.67,0.22,0.65,0.47,0.614,0.073,4.67,0.342,-2.39,0.15,0.50,indeterminate
115901,28.43961,77.09139,-0.48,0.23,0.72,0.49,0.589,0.046,4.64,0.310,-2.45,0.45,0.50,indeterminate
115902,28.43961,77.09239,-0.55,0.22,0.64,0.48,0.603,0.053,4.62,0.244,-2.32,0.26,0.50,indeterminate
115903,28.43961,77.09339,-0.96,0.22,0.59,0.48,0.627,0.132,4.62,0.290,-2.60,-0.20,0.50,indeterminate
115904,28.43961,77.09439,-0.88,0.22,0.61,0.48,0.644,0.116,4.56,0.294,-2.41,-0.18,0.50,indeterminate
115905,28.43961,77.09539,-1.21,0.23,0.67,0.50,0.621,0.192,4.58,0.313,-2.97,-0.39,0.50,indeterminate
115906,28.43961,77.09639,-0.68,0.23,0.85,0.52,0.608,0.084,4.57,0.313,-2.58,0.19,0.50,indeterminate
115907,28.43961,77.09739,-0.08,0.23,0.85,0.52,0.591,0.020,4.53,0.173,-2.06,0.81,0.50,elastic_dominant
115908,28.43961,77.09839,0.55,0.23,0.92,0.54,0.566,0.065,4.55,0.195,-1.56,1.49,0.50,indeterminate
115909,28.43961,77.09939,0.63,0.24,0.85,0.54,0.580,0.074,4.54,0.241,-1.52,1.63,0.50,indeterminate
115910,28.43961,77.10039,0.66,0.24,0.91,0.55,0.568,0.082,4.54,0.377,-1.58,1.69,0.50,indeterminate
115911,28.43961,77.10139,1.00,0.25,1.01,0.58,0.531,0.154,4.60,0.488,-1.42,2.08,0.50,indeterminate
115912,28.43961,77.10239,1.21,0.25,1.15,0.60,0.511,0.205,4.64,0.511,-1.30,2.31,0.50,indeterminate
115913,28.43961,77.10339,1.20,0.25,1.01,0.58,0.521,0.200,4.60,0.492,-1.23,2.29,0.50,indeterminate
115914,28.43961,77.10439,1.03,0.25,0.94,0.56,0.499,0.159,4.58,0.430,-1.39,2.07,0.50,indeterminate
