name,lat,lon,published_rate_mm
Sangrur,30.2450,75.8420,
Mansa,29.9860,75.3930,
Patiala,30.3360,76.3920,
Sunam,30.1280,75.8000,
Barnala,30.3740,75.5460,
Budhlada,29.9280,75.5620,
