name,lat,lon,published_rate_mm
Kharar,30.7460,76.6470,-60 to -180 (corridor prior)
Sunny Enclave,30.7570,76.6330,
Mohali Sec70,30.7040,76.7170,
Zirakpur,30.6420,76.8170,-60 to -180 (corridor prior)
Dera Bassi,30.5820,76.8430,-60 to -180 (corridor prior)
Chandigarh Sec17,30.7410,76.7820,
Panchkula,30.6950,76.8540,
Landran,30.6620,76.6600,
New Chandigarh,30.8020,76.7200,
Banur,30.5540,76.7190,
