name,lat,lon,published_rate_mm
Kapashera,28.5286,77.1006,-110 to -170
Dwarka Sec23,28.5710,77.0640,-35
Gurugram DLF,28.4595,77.0938,-30 to -80
Gurugram Sec47,28.4300,77.0480,-50
IGI Airport,28.5562,77.1000,-20
Mahipalpur,28.5440,77.1240,-60
Faridabad Sec21,28.4030,77.3050,-115
Faridabad NIT,28.3880,77.2900,-60
Palam,28.5890,77.0880,-20
Samalka,28.5150,77.0870,-90
