name,lat,lon,published_rate_mm
Model Town,31.4810,74.3220,-43 (prior max)
Gulberg,31.5200,74.3510,
Johar Town,31.4620,74.2710,
Walled City,31.5830,74.3160,
Central Lahore,31.5670,74.3250,
DHA,31.4780,74.3900,
Township,31.4430,74.3050,
